"animalID","animalOrder","animalFamily","animalGenericName","animalSpecificEpithet","animalScientificName","animalTaxonAggregate","animalFinestCommonTaxon","animalFinestCommonTaxonRank","animalFunctionalGroup","plantFamily","plantGenericName","plantSpecificEpithet","plantScientificName","floralForm","era","day","month","year","eventDate","animalQuantityConservativeEstimate","animalQuantityGenerousEstimate"
NA,"Hymenoptera","Apidae","Bombus","terrestris","Bombus terrestris (Linnaeus, 1758)","Bombus terrestris-lucorum complex","Bombus terrestris-lucorum complex","species","bumblebees","Asteraceae","Solidago","virgaurea","Solidago virgaurea L.","flower heads","past",31,7,1896,"1896-07-31",1,1
NA,"Diptera","Calliphoridae","Cynomya","mortuorum","Cynomya mortuorum De Geer, 1776",NA,"Cynomya mortuorum","species","other flies","Asteraceae","Solidago","virgaurea","Solidago virgaurea L.","flower heads","past",23,7,1896,"1896-07-23",8,50
NA,"Diptera","Empididae","Rhamphomyia","albosegmentata","Rhamphomyia albosegmentata Zetterstedt, 1838",NA,"Rhamphomyia","genus","other flies","Asteraceae","Solidago","virgaurea","Solidago virgaurea L.","flower heads","past",22,7,1897,"1897-07-22",8,50
NA,"Diptera","Empididae","Rhamphomyia","albosegmentata","Rhamphomyia albosegmentata Zetterstedt, 1838",NA,"Rhamphomyia","genus","other flies","Asteraceae","Solidago","virgaurea","Solidago virgaurea L.","flower heads","past",31,7,1897,"1897-07-31",8,50
NA,"Hymenoptera","Halictidae","Lasioglossum","albipes","Lasioglossum albipes (Fabricius, 1781)",NA,"Lasioglossum albipes","species","solitary bees","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",1,7,1896,"1896-07-01",4,8
NA,"Hymenoptera","Halictidae","Lasioglossum","laeve","Lasioglossum laeve (Kirby, 1802)",NA,"Lasioglossum laeve","species","solitary bees","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",4,6,1897,"1897-06-04",1,1
NA,"Hymenoptera","Megachilidae","Megachile","analis","Megachile analis Nylander, 1852",NA,"Megachile analis","species","solitary bees","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",28,6,1897,"1897-06-28",1,1
NA,"Diptera","Muscidae","Neomyia","cornicina","Neomyia cornicina Fabricius, 1781",NA,"Neomyia cornicina","species","muscoid flies","Asteraceae","Achillea","millefolium","Achillea millefolium L.","disk flower (hidden nectar)","past",10,7,1895,"1895-07-10",1,1
NA,"Diptera","Muscidae","Phaonia","consobrina","Phaonia consobrina (Zetterstedt, 1837)",NA,"Phaonia","genus","muscoid flies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",15,100
NA,"Diptera","Muscidae","Phaonia","alpicola","Phaonia alpicola (Zetterstedt, 1845)",NA,"Phaonia","genus","muscoid flies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",15,100
NA,"Diptera","Muscidae","Phaonia","alpicola","Phaonia alpicola (Zetterstedt, 1845)",NA,"Phaonia","genus","muscoid flies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",3,6,1897,"1897-06-03",15,100
NA,"Diptera","Muscidae","Phaonia","consobrina","Phaonia consobrina (Zetterstedt, 1837)",NA,"Phaonia","genus","muscoid flies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",8,6,1898,"1898-06-08",15,100
NA,"Diptera","Muscidae","Phaonia","consobrina","Phaonia consobrina (Zetterstedt, 1837)",NA,"Phaonia","genus","muscoid flies","Ranunculaceae","Caltha","palustris","Caltha palustris L.","disk flower (hidden nectar)","past",22,6,1900,"1900-06-22",8,50
NA,"Diptera","Muscidae","Phaonia","consobrina","Phaonia consobrina (Zetterstedt, 1837)",NA,"Phaonia","genus","muscoid flies","Ranunculaceae","Caltha","palustris","Caltha palustris L.","disk flower (hidden nectar)","past",28,5,1897,"1897-05-28",8,50
NA,"Diptera","Muscidae","Thricops","longipes","Thricops longipes (Zetterstedt, 1845)",NA,"Thricops","genus","muscoid flies","Rosaceae","Comarum","palustre","Comarum palustre L.","disk flower (hidden nectar)","past",4,8,1896,"1896-08-04",4,8
NA,"Lepidoptera","Noctuidae","Eurois","occulta","Eurois occulta (Linnaeus, 1758)",NA,"Eurois occulta","species","moths","Caryophyllaceae","Silene","vulgaris","Silene vulgaris (Moench) Garcke","stalk disc flowers","past",7,7,1896,"1896-07-07",1,1
NA,"Lepidoptera","Noctuidae","Apamea","kuusamoensis","Apamea kuusamoensis (Aro, 1900)",NA,"Apamea kuusamoensis","species","moths","Caryophyllaceae","Silene","vulgaris","Silene vulgaris (Moench) Garcke","stalk disc flowers","past",8,7,1896,"1896-07-08",1,1
NA,"Lepidoptera","Noctuidae","Syngrapha","diasema","Syngrapha diasema (Boisduval, 1829)",NA,"Syngrapha diasema","species","moths","Caryophyllaceae","Silene","vulgaris","Silene vulgaris (Moench) Garcke","stalk disc flowers","past",8,7,1896,"1896-07-08",8,50
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Silene","vulgaris","Silene vulgaris (Moench) Garcke","stalk disc flowers","past",14,7,1897,"1897-07-14",1,1
NA,"Lepidoptera","Noctuidae","Autographa","macrogamma","Autographa macrogamma (Eversmann, 1842)",NA,"Autographa macrogamma","species","moths","Caryophyllaceae","Silene","vulgaris","Silene vulgaris (Moench) Garcke","stalk disc flowers","past",14,7,1897,"1897-07-14",1,1
NA,"Lepidoptera","Noctuidae","Plusia","festucae","Plusia festucae (Linnaeus, 1758)",NA,"Plusia festucae","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",21,7,1897,"1897-07-21",5,15
NA,"Lepidoptera","Noctuidae","Autographa","macrogamma","Autographa macrogamma (Eversmann, 1842)",NA,"Autographa macrogamma","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",21,7,1897,"1897-07-21",8,50
NA,"Lepidoptera","Noctuidae","Autographa","macrogamma","Autographa macrogamma (Eversmann, 1842)",NA,"Autographa macrogamma","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",21,7,1896,"1896-07-21",1,1
NA,"Lepidoptera","Noctuidae","Autographa","macrogamma","Autographa macrogamma (Eversmann, 1842)",NA,"Autographa macrogamma","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",21,7,1898,"1898-07-21",8,50
NA,"Lepidoptera","Noctuidae","Autographa","macrogamma","Autographa macrogamma (Eversmann, 1842)",NA,"Autographa macrogamma","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",21,7,1899,"1899-07-21",8,50
NA,"Lepidoptera","Noctuidae","Apamea","kuusamoensis","Apamea kuusamoensis (Aro, 1900)",NA,"Apamea kuusamoensis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",22,7,1897,"1897-07-22",1,1
NA,"Lepidoptera","Noctuidae","Apamea","kuusamoensis","Apamea kuusamoensis (Aro, 1900)",NA,"Apamea kuusamoensis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",22,7,1896,"1896-07-22",1,1
NA,"Lepidoptera","Noctuidae","Apamea","kuusamoensis","Apamea kuusamoensis (Aro, 1900)",NA,"Apamea kuusamoensis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",22,7,1898,"1898-07-22",1,1
NA,"Lepidoptera","Noctuidae","Apamea","kuusamoensis","Apamea kuusamoensis (Aro, 1900)",NA,"Apamea kuusamoensis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",22,7,1899,"1899-07-22",1,1
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",23,7,1896,"1896-07-23",8,50
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",24,7,1896,"1896-07-24",8,50
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",25,7,1896,"1896-07-25",8,50
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",26,7,1896,"1896-07-26",8,50
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",26,7,1897,"1897-07-26",1,1
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",26,7,1898,"1898-07-26",8,50
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",26,7,1899,"1899-07-26",8,50
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",27,7,1896,"1896-07-27",8,50
NA,"Lepidoptera","Noctuidae","Plusia","festucae","Plusia festucae (Linnaeus, 1758)",NA,"Plusia festucae","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",27,7,1896,"1896-07-27",5,15
NA,"Lepidoptera","Noctuidae","Plusia","festucae","Plusia festucae (Linnaeus, 1758)",NA,"Plusia festucae","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",27,7,1898,"1898-07-27",5,15
NA,"Lepidoptera","Noctuidae","Plusia","festucae","Plusia festucae (Linnaeus, 1758)",NA,"Plusia festucae","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",27,7,1899,"1899-07-27",5,15
NA,"Lepidoptera","Noctuidae","Syngrapha","hochenwarthi","Syngrapha hochenwarthi (Hochenwarth, 1785)",NA,"Syngrapha hochenwarthi","species","moths","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",28,6,1898,"1898-06-28",5,15
NA,"Lepidoptera","Noctuidae","Syngrapha","interrogationis","Syngrapha interrogationis (Linnaeus, 1758)",NA,"Syngrapha interrogationis","species","moths","Caryophyllaceae","Dianthus","superbus","Dianthus superbus L.","stalk disc flowers","past",28,7,1896,"1896-07-28",8,50
NA,"Lepidoptera","Nymphalidae","Boloria","eunomia","Boloria eunomia (Esper, 1799)",NA,"Boloria eunomia","species","butterflies","Lentibulariaceae","Pinguicula","vulgaris","Pinguicula vulgaris L.","lip flowers","past",5,7,1896,"1896-07-05",3,3
NA,"Lepidoptera","Nymphalidae","Boloria","selene","Boloria selene (Denis & Schiffermüller, 1775)",NA,"Boloria selene","species","butterflies","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",6,7,1896,"1896-07-06",4,8
NA,"Lepidoptera","Nymphalidae","Boloria","selene","Boloria selene (Denis & Schiffermüller, 1775)",NA,"Boloria selene","species","butterflies","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",28,6,1898,"1898-06-28",1,1
NA,"Lepidoptera","Pieridae","Pieris","napi","Pieris napi (Linnaeus, 1758)",NA,"Pieris napi","species","butterflies","Lentibulariaceae","Pinguicula","vulgaris","Pinguicula vulgaris L.","lip flowers","past",6,7,1896,"1896-07-06",5,15
NA,"Lepidoptera","Pieridae","Pieris","napi","Pieris napi (Linnaeus, 1758)",NA,"Pieris napi","species","butterflies","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",28,6,1898,"1898-06-28",1,1
NA,"Lepidoptera","Pieridae","Colias","palaeno","Colias palaeno (Linnaeus, 1761)",NA,"Colias palaeno","species","butterflies","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",28,6,1898,"1898-06-28",1,1
NA,"Diptera","Syrphidae","Volucella","bombylans","Volucella bombylans (Linnaeus, 1758)",NA,"Volucella bombylans","species","hoverflies","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",1,7,1896,"1896-07-01",8,50
NA,"Diptera","Syrphidae","Volucella","bombylans","Volucella bombylans (Linnaeus, 1758)",NA,"Volucella bombylans","species","hoverflies","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",1,7,1896,"1896-07-01",15,100
NA,"Diptera","Syrphidae","Dasysyrphus","pinastri","Dasysyrphus pinastri (De Geer, 1776)",NA,"Dasysyrphus pinastri","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",2,2
NA,"Diptera","Syrphidae","Dasysyrphus","nigricornis","Dasysyrphus nigricornis (Verrall, 1873)",NA,"Dasysyrphus nigricornis","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",4,8
NA,"Diptera","Syrphidae","Melanostoma","mellinum","Melanostoma mellinum Linnaeus, 1758",NA,"Melanostoma mellinum","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",1,1
NA,"Diptera","Syrphidae","Epistrophe","nitidicollis","Epistrophe nitidicollis (Meigen, 1822)",NA,"Epistrophe nitidicollis","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",1,1
NA,"Diptera","Syrphidae","Sphaerophoria","scripta","Sphaerophoria scripta Linnaeus, 1758",NA,"Sphaerophoria scripta","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",1,1
NA,"Diptera","Syrphidae","Sphaerophoria","menthastri","Sphaerophoria menthastri (Linnaeus, 1758)",NA,"Sphaerophoria menthastri","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",1,1
NA,"Diptera","Syrphidae","Pipiza","quadrimaculata","Pipiza quadrimaculata (Panzer, 1802)",NA,"Pipiza quadrimaculata","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",2,2
NA,"Diptera","Syrphidae","Pipiza","noctiluca","Pipiza noctiluca (Linnaeus, 1758)",NA,"Pipiza noctiluca","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",4,8
NA,"Diptera","Syrphidae","Neoascia","tenur","Neoascia tenur (Harris, 1780) ",NA,"Neoascia tenur","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",4,8
NA,"Diptera","Syrphidae","Chrysogaster","aerosa","Chrysogaster aerosa Loew, 1843",NA,"Chrysogaster aerosa","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",1,6,1897,"1897-06-01",15,100
NA,"Diptera","Syrphidae","Platycheirus","manicatus","Platycheirus manicatus (Meigen, 1822)",NA,"Platycheirus manicatus","species","hoverflies","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",2,7,1896,"1896-07-02",1,1
NA,"Diptera","Syrphidae","Platycheirus","albimanus","Platycheirus albimanus (Fabricius, 1781)",NA,"Platycheirus albimanus","species","hoverflies","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",2,7,1896,"1896-07-02",1,1
NA,"Diptera","Syrphidae","Lejops","lunulatus","Lejops lunulatus (Meigen, 1822)",NA,"Lejops lunulatus","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",2,6,1897,"1897-06-02",1,1
NA,"Diptera","Syrphidae","Chrysogaster","aerosa","Chrysogaster aerosa Loew, 1843",NA,"Chrysogaster aerosa","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",2,6,1897,"1897-06-02",15,100
NA,"Diptera","Syrphidae","Chrysotoxum","fasciolatum","Chrysotoxum fasciolatum (De Geer, 1776)",NA,"Chrysotoxum fasciolatum","species","hoverflies","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",3,7,1896,"1896-07-03",5,15
NA,"Diptera","Syrphidae","Eoseristalis","rupium","Eoseristalis rupium (Fabricius, 1805)",NA,"Eoseristalis rupium","species","hoverflies","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",3,7,1896,"1896-07-03",5,15
NA,"Diptera","Syrphidae","Volucella","bombylans","Volucella bombylans (Linnaeus, 1758)",NA,"Volucella bombylans","species","hoverflies","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",3,7,1896,"1896-07-03",15,100
NA,"Diptera","Syrphidae","Helophilus","lapponicus","Helophilus lapponicus Wahlberg, 1844",NA,"Helophilus lapponicus","species","hoverflies","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",3,7,1896,"1896-07-03",4,8
NA,"Diptera","Syrphidae","Eristalis","cryptarum","Eristalis cryptarum Fabricius",NA,"Eristalis cryptarum","species","hoverflies","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",3,7,1896,"1896-07-03",8,50
NA,"Diptera","Syrphidae","Syrphus","ribesii","Syrphus ribesii (Linnaeus, 1758)",NA,"Syrphus ribesii","species","hoverflies","Rosaceae","Rubus","chamaemorus","Rubus chamaemorus L.","disk flower (hidden nectar)","past",3,6,1897,"1897-06-03",4,8
